,school,sex,age,Fjob,Mjob,goout,internet,romantic,studytime,failures,health,absences,G1,G2,G3
90,GP,F,16,other,other,3,yes,yes,3,0,4,0,7.0,8.888749184220753,10.947100745352527
91,GP,F,15,other,services,5,yes,no,1,0,1,4,16.0,18.75018948309452,20.0
92,GP,F,16,other,other,3,no,no,2,0,2,4,7.0,8.311456750414742,9.059349206652257
93,GP,F,16,services,teacher,3,yes,no,2,0,1,0,11.0,12.371559271280288,12.63124633746869
94,GP,M,15,health,services,4,yes,no,4,0,4,6,11.0,15.353064955466632,17.018709655913852
95,GP,F,15,other,at_home,2,yes,no,4,1,1,2,7.0,10.0,10.0
96,GP,M,16,other,services,3,yes,no,1,0,4,2,11.0,16.74045420033332,18.013584131007782
97,GP,F,16,other,other,5,no,yes,2,0,5,2,8.0,10.813674926988375,13.300668364891715
98,GP,F,16,other,other,4,yes,no,1,0,1,6,11.0,15.868235149872744,17.171991031832842
99,GP,F,16,at_home,other,5,yes,no,3,0,3,0,7.0,11.271088102361045,10.472784097075731
100,GP,M,16,services,services,5,yes,no,1,0,4,14,7.0,9.51260112182124,7.825943106648364
101,GP,M,16,teacher,services,3,yes,yes,3,0,4,0,16.0,18.92807972015531,20.0
102,GP,M,15,other,services,3,yes,no,1,0,5,4,10.0,14.862722528060786,17.0061031448542
103,GP,F,15,other,services,5,yes,no,2,0,2,26,7.0,7.431973190234585,9.104503006117444
104,GP,M,15,other,services,4,yes,no,2,0,1,0,16.0,19.727995736573636,20.0
105,GP,F,15,health,other,3,no,no,4,0,4,10,10.0,13.283580425655973,13.626949922517875
106,GP,F,15,other,other,2,yes,no,4,0,3,8,7.0,9.884976342101108,11.518170669145576
107,GP,M,16,other,services,3,yes,no,3,0,5,2,16.0,19.828628981742238,20.0
108,GP,M,15,other,other,5,yes,yes,4,0,1,6,10.0,15.001022357828678,15.88182406996778
109,GP,F,16,health,health,5,yes,yes,3,0,4,4,14.0,16.210355883012866,19.064203404165355
110,GP,M,15,teacher,teacher,3,yes,no,1,0,4,6,18.0,20.0,20.0
111,GP,F,16,other,services,2,yes,no,3,1,2,0,7.0,10.0,10.0
112,GP,F,16,other,at_home,2,yes,no,2,1,5,6,10.0,13.0,13.0
113,GP,M,15,other,teacher,2,yes,no,1,0,3,10,18.0,20.0,20.0
114,GP,M,15,services,health,2,yes,yes,2,0,5,8,9.0,10.737355082227953,12.320963836109907
115,GP,M,16,teacher,teacher,4,yes,no,2,0,5,2,15.0,16.875766436942232,18.759844759213514
116,GP,M,15,teacher,other,3,no,no,2,0,2,2,11.0,15.093925091352846,17.253731677292258
117,GP,M,16,services,other,2,yes,no,1,0,5,0,13.0,15.81915463050365,15.943095039215187
118,GP,M,17,other,other,4,yes,no,2,1,5,20,9.0,7.0,8.0
119,GP,M,15,other,other,3,yes,no,1,0,4,6,14.0,15.385550464005089,15.745335318399063
120,GP,F,15,services,at_home,3,yes,no,2,0,1,2,16.0,16.778811833926166,17.68706875193542
121,GP,M,15,services,services,4,yes,no,4,0,5,6,16.0,16.399306020920996,17.78778788514696
122,GP,F,16,health,other,2,yes,yes,2,0,5,2,13.0,14.87703055721409,15.71288650234189
123,GP,M,16,other,health,4,yes,no,1,0,5,18,14.0,13.041665757161736,16.35910493803803
124,GP,F,16,other,other,4,yes,yes,2,0,5,0,8.0,9.546738465828938,11.254062772016415
125,GP,M,15,services,services,5,yes,no,1,0,5,0,13.0,14.752821887230228,14.961957693465475
126,GP,F,15,other,other,2,yes,yes,2,0,1,0,7.0,11.36280994278156,14.204490220036304
127,GP,F,19,other,at_home,2,no,no,2,3,5,2,3.7888744348027403,8.0,5.762264493585944
128,GP,M,18,other,services,3,yes,no,1,2,4,0,7.0,4.0,0.0
129,GP,M,16,teacher,teacher,5,yes,no,1,0,4,8,18.0,19.932008361399006,20.0
130,GP,F,15,teacher,services,2,yes,yes,3,2,5,0,12.0,0.0,0.0
131,GP,F,15,other,at_home,3,yes,yes,1,0,4,0,8.0,2.3274662744283363,2.8069168397724624
132,GP,F,17,other,other,4,yes,yes,1,0,5,12,10.0,14.754702344796922,14.691555484690138
133,GP,F,16,other,services,1,yes,no,1,0,5,16,12.0,13.010717397555478,14.130860301428132
134,GP,M,15,teacher,at_home,3,no,yes,2,0,5,0,9.0,1.9157495046013735,3.534391069921562
135,GP,F,15,at_home,services,3,yes,yes,3,0,5,0,11.0,2.159343976472758,3.020688498168857
136,GP,M,17,other,at_home,5,no,no,2,0,5,0,10.0,2.361197421942068,2.9523089739263453
137,GP,F,16,other,other,2,yes,yes,1,2,5,0,4.0,0.0,0.0
138,GP,M,16,other,services,4,no,yes,2,1,5,0,14.0,12.0,12.0
139,GP,F,15,teacher,teacher,2,yes,no,1,0,5,0,16.0,17.985136468943256,17.855174975723735
140,GP,M,15,services,teacher,2,yes,no,4,0,3,0,7.0,10.825572635738961,3.0697067872545127
141,GP,M,16,services,services,3,yes,no,1,2,2,8,9.0,9.0,9.0
142,GP,F,15,services,teacher,2,yes,no,3,0,5,2,9.0,12.9883769546339,14.151342512252183
143,GP,F,16,at_home,at_home,4,yes,no,1,0,1,2,14.0,16.092298857155228,16.827814599130573
144,GP,M,17,other,other,5,yes,no,1,3,5,0,1.7339803958959865,0.0,0.0
145,GP,F,15,services,other,2,yes,no,2,0,5,0,8.0,13.028690215807321,13.967094072955364
146,GP,F,15,services,health,2,yes,no,2,3,3,0,2.963040128877636,7.0,0.0
147,GP,F,15,other,at_home,2,yes,no,2,0,5,2,10.0,12.847429789922653,14.14598741157538
148,GP,M,16,teacher,teacher,2,yes,yes,1,0,5,0,7.0,8.106991548465828,3.442471480318336
149,GP,M,15,other,services,5,yes,no,1,3,5,0,5.315813890181028,9.0,6.728362062107079
150,GP,M,18,other,other,5,yes,yes,1,3,4,0,3.2713443413963894,5.0,0.0
151,GP,M,16,other,at_home,4,no,yes,1,1,5,6,12.0,13.0,14.0
152,GP,F,15,services,services,1,yes,yes,3,2,3,8,10.0,10.0,10.0
153,GP,M,19,at_home,services,4,yes,yes,1,3,4,0,1.71384280598277,0.0,0.0
154,GP,F,17,teacher,other,1,no,yes,1,0,4,0,11.0,12.579500001937237,14.886086551672516
155,GP,M,15,services,at_home,4,no,no,2,0,1,2,11.0,9.40572513232199,11.429183076540113
156,GP,M,17,other,other,2,no,no,1,0,5,8,16.0,13.909668170115424,15.766901578598858
157,GP,F,18,other,at_home,5,no,no,1,3,4,6,6.112619029714928,8.0,6.997498212446498
158,GP,M,16,other,at_home,2,no,no,1,0,3,2,17.0,17.712478110289545,17.916221033777465
159,GP,M,16,services,other,5,yes,yes,2,1,5,4,10.0,12.0,12.0
160,GP,M,17,other,at_home,2,yes,yes,1,2,5,0,7.0,6.0,0.0
161,GP,M,15,other,other,4,yes,yes,2,2,3,6,5.0,9.0,7.0
162,GP,M,16,other,other,4,no,no,1,1,5,0,7.0,0.0,0.0
163,GP,M,17,services,at_home,3,yes,no,1,0,2,2,10.0,12.203406303035269,12.904475176441839
164,GP,M,17,services,other,5,no,yes,2,3,5,0,2.0973539066676503,8.0,4.523796442744058
165,GP,M,16,services,services,2,no,no,1,1,2,16,12.0,11.0,12.0
166,GP,M,16,other,other,5,yes,no,2,0,4,4,10.0,12.168852123304966,12.822304568470464
167,GP,F,16,services,health,3,yes,yes,2,0,3,0,14.0,16.945136352864743,19.260704708265628
168,GP,F,16,other,other,5,yes,no,2,0,4,0,6.0,8.567921101119913,3.0852376896747233
169,GP,F,16,health,health,2,yes,yes,2,0,3,0,14.0,16.353042313048242,16.990827989267284
170,GP,M,16,other,other,5,yes,no,1,2,2,0,6.0,5.0,0.0
171,GP,M,16,other,other,2,yes,yes,2,0,3,2,13.0,17.454436123842267,18.49604926887147
172,GP,M,17,other,teacher,4,yes,no,2,0,5,0,13.0,12.98463195563108,12.75810988974825
173,GP,F,16,services,at_home,5,yes,yes,2,3,3,0,4.682519694774809,7.0,0.0
174,GP,F,16,other,other,5,yes,no,2,0,4,4,10.0,12.629147366838819,12.207582918946983
175,GP,M,17,other,teacher,4,yes,no,2,0,4,4,10.0,10.821360632192231,12.290851561269564
176,GP,F,16,other,services,4,yes,no,2,0,5,2,13.0,14.694212741859326,13.935997615736373
177,GP,M,17,other,other,4,yes,no,2,0,4,4,6.0,6.800731883482792,8.804568044693774
178,GP,M,16,services,teacher,3,yes,yes,1,0,3,10,10.0,9.94731516915967,11.156089841881414
179,GP,M,17,other,other,3,yes,yes,2,0,2,4,10.0,11.988454250492993,13.599718561389308
180,GP,M,16,other,teacher,3,yes,no,2,0,3,10,9.0,9.802187471502489,11.440491265485452
181,GP,M,16,other,services,3,yes,yes,2,0,3,2,12.0,14.945599871169312,15.009443615721924
182,GP,F,17,services,services,2,no,no,2,0,5,0,16.0,19.163155336978495,20.0
183,GP,F,17,other,other,3,yes,yes,2,0,1,56,9.0,10.845407078391196,11.297624575567166
184,GP,F,16,other,other,2,yes,no,2,0,1,14,12.0,14.373184358084398,15.258174381403862
185,GP,M,17,services,services,4,yes,yes,2,0,4,12,12.0,13.627943934940172,13.411383769347818
186,GP,M,16,services,services,3,yes,yes,1,0,3,2,11.0,13.78917150882179,14.684354048086561
187,GP,M,16,other,other,3,yes,yes,2,0,5,0,15.0,17.371067143325796,18.35515917467414
188,GP,F,17,other,health,3,yes,yes,2,0,3,6,8.0,8.83724752328855,11.96330323104295
189,GP,M,17,other,at_home,3,no,no,2,0,3,4,8.0,11.458337041445258,12.91032857313822
190,GP,F,16,services,services,3,yes,no,2,0,2,10,11.0,14.124542635351547,15.836195022149155
191,GP,F,17,services,at_home,3,yes,no,2,0,3,0,8.0,9.476383235397845,11.611742046034944
192,GP,M,17,services,at_home,4,yes,no,2,0,5,12,7.0,10.57305312275652,11.312511699746809
193,GP,M,16,services,services,2,yes,no,1,0,5,8,8.0,10.826676416241828,13.045615231884193
194,GP,M,16,other,other,3,yes,no,1,0,3,0,13.0,15.958895648424239,17.16055638089988
195,GP,F,17,services,services,2,yes,yes,2,0,5,0,14.0,17.218179860133578,17.964007733930096
196,GP,M,17,teacher,services,3,yes,no,1,0,5,4,17.0,16.915845727260596,19.02690242839929
197,GP,M,16,other,teacher,4,yes,no,1,0,3,8,9.0,10.846072894892728,12.627572142239748
198,GP,F,17,teacher,services,4,yes,no,1,1,2,24,18.0,18.0,18.0
199,GP,F,16,teacher,teacher,2,yes,no,2,0,3,0,9.0,10.94124739410382,13.023114912229055
200,GP,F,16,other,health,5,yes,no,2,0,2,2,16.0,18.04888742708485,19.040076406039528
201,GP,F,16,other,other,3,no,no,2,0,4,6,8.0,11.60267223237574,13.613267089509883
202,GP,F,17,other,other,4,no,no,2,0,1,4,9.0,10.958642673386509,12.58034794978834
203,GP,F,17,other,other,2,yes,no,1,0,3,18,7.0,8.200321307787288,9.174486425791263
204,GP,F,16,services,services,5,yes,no,4,0,5,6,10.0,11.98288711789201,13.787043539251705
205,GP,F,17,services,at_home,3,yes,yes,3,1,5,28,10.0,9.0,9.0
206,GP,F,16,other,services,3,yes,no,2,3,4,5,3.8676397677210708,7.0,3.9923304406022186
207,GP,F,16,other,teacher,2,yes,yes,2,0,1,10,11.0,13.990495290348802,16.022187841139896
208,GP,F,16,other,at_home,2,no,no,1,0,5,6,9.0,11.233357162027442,12.77215662627877
209,GP,F,17,other,teacher,2,yes,yes,3,0,4,6,7.0,9.020087833448956,9.699874029564592
210,GP,F,19,other,other,3,yes,no,4,0,3,10,8.0,9.616998549131006,10.773134767972412
211,GP,M,17,other,services,5,yes,yes,2,0,3,13,12.0,14.514532874102386,15.98022080078116
212,GP,F,16,other,other,4,yes,no,2,0,4,0,12.0,15.463082072832915,17.293437112072464
213,GP,M,18,other,services,4,yes,no,2,1,5,15,6.0,7.0,8.0
214,GP,F,17,other,services,1,no,no,1,0,3,12,8.0,11.640968151540081,13.344390294477906
215,GP,F,17,other,other,4,yes,no,2,0,1,2,14.0,17.41276748503162,18.50526064093134
216,GP,F,17,other,other,5,yes,yes,2,2,1,22,6.0,6.0,4.0
217,GP,M,18,health,services,4,yes,no,2,1,4,13,6.0,6.0,8.0
218,GP,F,17,other,at_home,3,no,no,1,0,3,3,7.0,8.87480268948892,11.094962155126533
219,GP,F,17,at_home,at_home,3,yes,no,3,0,4,4,9.0,11.639454882699997,13.100324985315554
220,GP,F,17,services,at_home,5,yes,no,2,0,5,2,6.0,7.52754220636666,9.085030308823995
221,GP,F,17,other,at_home,4,no,yes,3,1,5,0,6.0,5.0,0.0
222,GP,F,16,teacher,services,1,yes,no,2,0,3,2,16.0,17.772812425627343,20.0
223,GP,M,18,other,other,3,yes,no,2,0,4,0,12.0,14.601601059120233,16.488926189231595
224,GP,F,16,services,teacher,2,yes,no,3,0,5,0,13.0,15.075412374832796,17.11341928111968
225,GP,F,18,other,other,3,yes,yes,2,1,4,16,9.0,8.0,7.0
226,GP,F,17,other,other,4,yes,no,2,0,3,10,16.0,16.566300519533847,17.8538815601693
227,GP,M,17,services,services,3,yes,no,2,0,3,2,12.0,13.099365138712502,14.599702617340878
228,GP,M,18,other,at_home,2,yes,yes,2,0,3,14,10.0,9.975414677052713,12.080183469670398
229,GP,F,17,other,other,3,yes,yes,3,0,3,10,12.0,12.221036107924917,15.119245095530694
230,GP,F,17,other,health,3,yes,yes,2,0,3,14,13.0,14.923370573608754,17.417889685001853
231,GP,M,17,other,other,2,yes,no,2,0,1,4,11.0,12.568622773527206,13.607658563693183
232,GP,M,17,teacher,teacher,5,yes,yes,2,0,2,14,11.0,10.816239121853654,11.837566430716368
233,GP,M,16,other,health,4,yes,no,2,0,1,2,14.0,14.770440358905603,16.21253776936665
234,GP,M,16,other,other,2,yes,no,2,0,5,18,9.0,8.86140834171479,8.934541251589698
235,GP,M,16,other,at_home,3,yes,yes,3,0,2,10,11.0,10.980757863847645,13.16766830562627
236,GP,M,17,other,other,2,yes,yes,2,0,4,4,14.0,14.89180222297483,16.061425425135198
237,GP,F,16,other,other,2,yes,yes,1,0,5,20,13.0,14.487751318321298,14.702594431597461
238,GP,F,17,services,at_home,1,no,no,2,0,3,2,13.0,13.452518928141576,13.846983067353003
239,GP,M,18,services,other,4,yes,no,2,1,2,0,7.0,7.0,0.0
240,GP,M,17,other,health,5,yes,yes,2,0,5,14,12.0,13.908933023769004,14.878346881491177
241,GP,M,17,other,teacher,3,yes,no,2,0,4,2,10.0,12.800417921687792,15.368098037065979
242,GP,M,16,other,teacher,5,yes,no,1,0,3,0,6.0,1.9356790715792036,3.2252451081875875
243,GP,M,16,services,services,2,yes,no,1,0,5,0,13.0,13.846224929544036,15.273464810917119
244,GP,F,18,other,other,4,yes,yes,3,0,3,0,7.0,2.0788916278133,3.110089228252918
245,GP,M,16,other,other,3,yes,no,1,0,4,6,18.0,20.0,20.0
246,GP,M,17,other,other,2,yes,no,1,0,2,4,12.0,14.313353391499547,16.047938645853318
247,GP,M,22,services,services,5,yes,yes,1,3,1,16,2.6630116873953615,8.0,4.88275590629032
248,GP,M,18,services,other,3,yes,yes,2,1,5,8,3.0,5.0,5.0
249,GP,M,16,other,other,2,yes,no,1,0,5,0,13.0,16.979100624261584,18.12032711721211
250,GP,M,18,other,services,5,yes,no,1,1,5,0,6.0,8.0,8.0
251,GP,M,16,other,at_home,3,yes,no,2,0,2,6,7.0,11.738684637946077,12.998243202429169
252,GP,M,18,services,services,5,yes,no,1,1,5,4,6.0,9.0,8.0
253,GP,M,16,other,other,2,no,no,1,0,3,0,8.0,11.180588466156127,10.733352110632794
254,GP,M,17,other,other,2,yes,no,1,0,5,0,8.0,13.533561619933614,14.834647282435526
255,GP,M,17,other,health,4,yes,no,1,1,5,2,7.0,9.0,8.0
256,GP,F,17,services,teacher,3,yes,no,4,0,4,6,14.0,13.620135099904731,16.28715556707051
257,GP,M,19,at_home,services,1,yes,no,2,0,1,12,11.0,13.308809871772073,13.730919738127831
258,GP,M,18,other,other,4,yes,no,2,0,4,8,15.0,16.016677443837324,16.59191169228928
259,GP,F,17,services,services,1,yes,yes,4,0,2,0,10.0,10.507163031570956,2.579306846341228
260,GP,F,18,other,services,2,yes,yes,2,0,2,21,17.0,20.0,20.0
261,GP,M,18,other,teacher,2,yes,no,2,0,3,2,8.0,10.072499972654102,10.637530743185767
262,GP,M,18,other,other,2,no,no,3,0,3,1,13.0,14.275360277618823,15.00958661645438
263,GP,F,17,other,other,3,no,no,3,0,4,4,10.0,11.529357898787897,11.830717996700901
264,GP,F,18,services,at_home,3,yes,yes,3,0,3,0,9.0,11.979875540099338,2.814528052944805
265,GP,M,18,other,other,5,yes,no,2,0,1,13,17.0,19.299782422645173,19.39876752945127
266,GP,M,17,other,services,4,yes,yes,2,0,5,2,9.0,10.964291923622138,12.515069514884406
267,GP,F,18,other,teacher,4,yes,no,2,0,4,8,12.0,11.700060125881347,14.192465167897572
268,GP,M,18,other,health,5,yes,yes,2,0,5,10,10.0,11.188711762260537,13.393176790572298
269,GP,F,18,other,other,5,yes,yes,2,0,3,0,6.0,2.3100890750966165,2.115862585160783
270,GP,F,19,services,other,5,yes,no,2,2,5,15,9.0,9.0,9.0
271,GP,F,18,services,other,5,yes,yes,4,0,2,4,15.0,15.597264344499077,16.86221197444513
272,GP,F,18,other,other,3,no,no,2,0,3,2,11.0,13.026620072908328,14.57689434848323
273,GP,M,17,at_home,at_home,2,no,yes,2,0,1,2,15.0,16.598566184256565,17.21190767396556
274,GP,F,17,health,at_home,3,yes,yes,2,0,1,2,10.0,12.117011721236766,13.202612816292756
275,GP,F,17,other,services,4,yes,yes,2,0,5,6,12.0,13.77477748494185,15.279405069740058
276,GP,F,18,services,other,1,yes,yes,2,0,5,75,10.0,11.192849445268617,12.092024621023963
277,GP,M,18,services,teacher,4,yes,no,1,0,3,22,9.0,10.4212444543103,11.701867230598042
278,GP,F,18,health,health,4,yes,yes,2,1,4,15,9.0,8.0,8.0
279,GP,M,18,services,teacher,3,yes,no,1,0,1,8,10.0,12.454330334834722,13.599760076771325
280,GP,M,17,other,services,4,yes,yes,1,0,5,30,8.0,10.247214638671629,10.46116100200045
281,GP,M,17,services,teacher,4,yes,no,1,1,3,19,11.0,9.0,10.0
282,GP,F,18,other,at_home,2,no,no,4,0,3,1,12.0,13.97503277583442,15.140719937883084
283,GP,F,18,other,other,4,yes,no,2,0,4,4,8.0,11.171760082297888,12.839815226018201
284,GP,F,17,other,other,5,yes,no,2,0,5,4,10.0,11.038693771083794,13.665239811733056
285,GP,M,17,other,other,3,yes,no,2,0,4,2,12.0,11.717496087467316,13.554992530014463
286,GP,F,18,at_home,at_home,3,yes,no,3,0,2,5,18.0,19.94443716937333,20.0
287,GP,F,17,teacher,services,3,yes,no,3,0,3,6,13.0,14.047086352758338,15.00522577008525
288,GP,M,18,services,services,4,yes,no,3,0,2,6,15.0,15.870326709078913,17.328299515421964
289,GP,M,18,teacher,teacher,3,yes,no,2,0,2,9,15.0,14.695782390056829,18.02067580280141
290,GP,M,18,other,teacher,2,yes,yes,2,0,5,11,12.0,13.078752579544206,13.921273590161661
291,GP,F,17,services,health,2,yes,no,3,0,3,0,15.0,17.2067505616789,17.753121835029066
